;Person Count for  - High_HH1;Timestamp;Person Count for  - Low_HH1;Person Count for  - Outside_HH1;Person Count for  - Unknown_HH1;Car Location - Car 1, 22kW Charging Power, avg. Speed 30 km/h_HH1;Car Location - Car 2, 22kW Charging Power, avg. Speed 30 km/h_HH1;Car State - Car 1, 22kW Charging Power, avg. Speed 30 km/h_HH1;Car State - Car 2, 22kW Charging Power, avg. Speed 30 km/h_HH1;Driving Distance - Car 1, 22kW Charging Power, avg. Speed 30 km/h_HH1;Driving Distance - Car 2, 22kW Charging Power, avg. Speed 30 km/h_HH1;State of charge - Car 1, 22kW Charging Power, avg. Speed 30 km/h_HH1;State of charge - Car 2, 22kW Charging Power, avg. Speed 30 km/h_HH1;Air Conditioning Load_House;Apparent_HH1;Apparent_House;Cold Water_HH1;Cold Water_House;Electricity_HH1;Electricity_House;Elevator Distance_HH1;Gas_House;Hot water_HH1;Hot water_House;Inner Device Heat Gains_HH1;Inner Device Heat Gains_House;None_HH1;Reactive_HH1;Reactive_House;Space Heating_House;Warm Water_HH1
0;2.0;2020-01-01 00:00:00;0.0;0.0;0.0;;Home;ParkingAndFullyCharged;ParkingAndFullyCharged;0.0;0.0;1.0;1.0;0.0;0.0;0.001360160120152527;0.0;0.0;0.0;0.0012921521141449005;0.0;0.0;0.0;0.0;0.0;0.0012921521141449005;60.0;0.0;0.00042470986139269323;0.0;0.0
1;2.0;2020-01-01 00:01:00;0.0;0.0;0.0;;Home;ParkingAndFullyCharged;ParkingAndFullyCharged;0.0;0.0;1.0;1.0;0.0;0.0;0.001596595959488255;0.0;0.0;0.0;0.0015167661615138424;0.0;0.0;0.0;0.0;0.0;0.0015167661615138424;60.0;0.0;0.0004985369285627567;0.0;0.0
2;2.0;2020-01-01 00:02:00;0.0;0.0;0.0;;Home;ParkingAndFullyCharged;ParkingAndFullyCharged;0.0;0.0;1.0;1.0;0.0;0.0;0.0013310113154363355;0.0;0.0;0.0;0.0012644607496645186;0.0;0.0;0.0;0.0;0.0;0.0012644607496645186;60.0;0.0;0.0004156081500372772;0.0;0.0
3;2.0;2020-01-01 00:03:00;0.0;0.0;0.0;;Home;ParkingAndFullyCharged;ParkingAndFullyCharged;0.0;0.0;1.0;1.0;0.0;0.0;0.0014838988174382779;0.0;0.0;0.0;0.0014097038765663638;0.0;0.0;0.0;0.0;0.0;0.0014097038765663638;60.0;0.0;0.00046334725723639025;0.0;0.0
4;2.0;2020-01-01 00:04:00;0.0;0.0;0.0;;Home;ParkingAndFullyCharged;ParkingAndFullyCharged;0.0;0.0;1.0;1.0;0.0;0.0;0.0012301277308234748;0.0;0.0;0.0;0.0011686213442823011;0.0;0.0;0.0;0.0;0.0;0.0011686213442823011;60.0;0.0;0.00038410726083834855;0.0;0.0
5;2.0;2020-01-01 00:05:00;0.0;0.0;0.0;;Home;ParkingAndFullyCharged;ParkingAndFullyCharged;0.0;0.0;1.0;1.0;0.0;0.0;0.001485614201424246;0.0;0.0;0.0;0.0014113334913530336;0.0;0.0;0.0;0.0;0.0;0.0014113334913530336;60.0;0.0;0.000463882885714333;0.0;0.0
6;2.0;2020-01-01 00:06:00;0.0;0.0;0.0;;Home;ParkingAndFullyCharged;ParkingAndFullyCharged;0.0;0.0;1.0;1.0;0.0;0.0;0.0013496630007674606;0.0;0.0;0.0;0.0012821798507290875;0.0;0.0;0.0;0.0;0.0;0.0012821798507290875;60.0;0.0;0.00042143213691525877;0.0;0.0
7;2.0;2020-01-01 00:07:00;0.0;0.0;0.0;;Home;ParkingAndFullyCharged;ParkingAndFullyCharged;0.0;0.0;1.0;1.0;0.0;0.0;0.0015340454367587166;0.0;0.0;0.0;0.0014573431649207809;0.0;0.0;0.0;0.0;0.0;0.0014573431649207809;60.0;0.0;0.0004790055341005196;0.0;0.0
8;2.0;2020-01-01 00:08:00;0.0;0.0;0.0;;Home;ParkingAndFullyCharged;ParkingAndFullyCharged;0.0;0.0;1.0;1.0;0.0;0.0;0.0015533268650140047;0.0;0.0;0.0;0.0014756605217633044;0.0;0.0;0.0;0.0;0.0;0.0014756605217633044;60.0;0.0;0.0004850261581435464;0.0;0.0
9;2.0;2020-01-01 00:09:00;0.0;0.0;0.0;;Home;ParkingAndFullyCharged;ParkingAndFullyCharged;0.0;0.0;1.0;1.0;0.0;0.0;0.0012775593845429831;0.0;0.0;0.0;0.001213681415315834;0.0;0.0;0.0;0.0;0.0;0.001213681415315834;60.0;0.0;0.0003989177899653014;0.0;0.0
