,Person Count for  - High_HH1,Timestamp,Person Count for  - Low_HH1,Person Count for  - Outside_HH1,Person Count for  - Unknown_HH1,Apparent_HH1,Cold Water_HH1,Electricity_HH1,Hot water_HH1,Inner Device Heat Gains_HH1,None_HH1,Reactive_HH1,Warm Water_HH1
0,2.0,2020-01-01 00:00:00,1.0,0.0,0.0,0.0021065124490780044,0.0,0.0018152859014372606,0.0,0.0018152859014372606,0.0,0.0004327229804058495,0.0
1,2.0,2020-01-01 00:01:00,1.0,0.0,0.0,0.0020765309186267884,0.0,0.0017915175707571044,0.0,0.0017915175707571044,0.0,0.0004620060403584271,0.0
2,2.0,2020-01-01 00:02:00,1.0,0.0,0.0,0.0020612860928876705,0.0,0.0017782634214946649,0.0,0.0017782634214946649,0.0,0.0004382499358227553,0.0
3,2.0,2020-01-01 00:03:00,1.0,0.0,0.0,0.0020544005160561337,0.0,0.0017725978779876402,0.0,0.0017725978779876402,0.0,0.0004594418936681626,0.0
4,2.0,2020-01-01 00:04:00,1.0,0.0,0.0,0.0020460690914410897,0.0,0.0017630325380617719,0.0,0.0017630325380617719,0.0,0.00043285924730280314,0.0
5,2.0,2020-01-01 00:05:00,1.0,0.0,0.0,0.002012679284671003,0.0,0.0017310568612723398,0.0,0.0017310568612723398,0.0,0.00043456235136663684,0.0
6,2.0,2020-01-01 00:06:00,1.0,0.0,0.0,0.0021084788623023268,0.0,0.0018265506870860848,0.0,0.0018265506870860848,0.0,0.0004674339008077056,0.0
7,2.0,2020-01-01 00:07:00,1.0,0.0,0.0,0.0020830409301481278,0.0,0.0017999580280618948,0.0,0.0017999580280618948,0.0,0.0004508451657645449,0.0
8,2.0,2020-01-01 00:08:00,1.0,0.0,0.0,0.0021194767433902824,0.0,0.0018363526189097267,0.0,0.0018363526189097267,0.0,0.00047194537083516475,0.0
9,2.0,2020-01-01 00:09:00,1.0,0.0,0.0,0.0019852126681962822,0.0,0.0017077086291405002,0.0,0.0017077086291405002,0.0,0.0004223292341954044,0.0
10,2.0,2020-01-01 00:10:00,1.0,0.0,0.0,0.002052080101023893,0.0,0.00177281273470936,0.0,0.00177281273470936,0.0,0.00044034046013421535,0.0
11,2.0,2020-01-01 00:11:00,1.0,0.0,0.0,0.0019568123992636122,0.0,0.0016814060715203015,0.0,0.0016814060715203015,0.0,0.0004208584631111702,0.0
12,2.0,2020-01-01 00:12:00,1.0,0.0,0.0,0.0020122495880423026,0.0,0.0017352441347495162,0.0,0.0017352441347495162,0.0,0.0004333412657895606,0.0
13,2.0,2020-01-01 00:13:00,1.0,0.0,0.0,0.002094649698944421,0.0,0.0018128773058307352,0.0,0.0018128773058307352,0.0,0.00045407591487049026,0.0
14,2.0,2020-01-01 00:14:00,1.0,0.0,0.0,0.0020531401914415603,0.0,0.001771800511359707,0.0,0.001771800511359707,0.0,0.0004448339001501607,0.0
15,2.0,2020-01-01 00:15:00,1.0,0.0,0.0,0.0020533525112689604,0.0,0.0017741987306991646,0.0,0.0017741987306991646,0.0,0.00045179608974410486,0.0
16,2.0,2020-01-01 00:16:00,1.0,0.0,0.0,0.0019882416508904873,0.0,0.001712974559244,0.0,0.001712974559244,0.0,0.0004333998019029777,0.0
17,2.0,2020-01-01 00:17:00,1.0,0.0,0.0,0.004316055680675816,0.0,0.0035159997562724614,0.0,0.0035159997562724614,0.0,0.0021497879550830493,0.0
18,2.0,2020-01-01 00:18:00,1.0,0.0,0.0,0.004375503093500292,0.0,0.0034647171566889283,0.0,0.0034647171566889283,0.0,0.0024066570260810665,0.0
19,2.0,2020-01-01 00:19:00,1.0,0.0,0.0,0.004217447034695573,0.0,0.003272473669889606,0.0,0.003272473669889606,0.0,0.002375951033143842,0.0
20,2.0,2020-01-01 00:20:00,1.0,0.0,0.0,0.004206438653769067,0.0,0.0032492738942557966,0.0,0.0032492738942557966,0.0,0.002374614536127128,0.0
21,2.0,2020-01-01 00:21:00,1.0,0.0,0.0,0.0043506817462563244,0.0,0.0033865770341369303,0.0,0.0033865770341369303,0.0,0.0024289238880836877,0.0
22,2.0,2020-01-01 00:22:00,1.0,0.0,0.0,0.004308451934326652,0.0,0.003835255196568871,0.0,0.003835255196568871,0.0,0.0028919371572370596,0.0
23,2.0,2020-01-01 00:23:00,1.0,0.0,0.0,0.0034959950277055566,0.0,0.0032452621067925306,0.0,0.0032452621067925306,0.0,0.0022368281899116625,0.0
24,2.0,2020-01-01 00:24:00,1.0,0.0,0.0,0.003721908737221681,0.0,0.003168353328950751,0.0,0.003168353328950751,0.0,0.0018222789100548124,0.0
25,2.0,2020-01-01 00:25:00,1.0,0.0,0.0,0.0044781364010813875,0.0,0.003117763391878968,0.0,0.003117763391878968,0.0,0.0017548651176141198,0.0
26,2.0,2020-01-01 00:26:00,1.0,0.0,0.0,0.004270514877307252,0.0,0.002974707135893766,0.0,0.002974707135893766,0.0,0.001706605201543935,0.0
27,2.0,2020-01-01 00:27:00,1.0,0.0,0.0,0.004392896942839636,0.0,0.0030794129929078676,0.0,0.0030794129929078676,0.0,0.0017280326285417555,0.0
28,2.0,2020-01-01 00:28:00,1.0,0.0,0.0,0.004067820836684811,0.0,0.0027810751006419883,0.0,0.0027810751006419883,0.0,0.001655294269033539,0.0
29,2.0,2020-01-01 00:29:00,1.0,0.0,0.0,0.0040247131876059265,0.0,0.00273961939975655,0.0,0.00273961939975655,0.0,0.0016313497291096373,0.0
